gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male
AGO.1_1,Angola,0.149311321400035,0.488955574440183,0.591,0.877,0.877,0.527,0.602,-0.262348729282489,-0.29110093745859816,0.0050532150568923,0.0135699215689649
AGO.2_1,Angola,0.0845051884731249,0.263640185967662,0.591,0.877,0.879,0.501,0.57,-0.2565483908609837,-0.2580022090189743,0.0291215250391134,0.0499007489259082
AGO.3_1,Angola,0.0255614762142035,0.17670154884418,0.591,0.877,0.867,0.465,0.536,-0.2680657284510242,-0.28614743946717575,0.014284225394647,0.0276082457777501
AGO.4_1,Angola,0.23341805066741,0.646027906535626,0.591,0.877,0.921,0.64,0.695,-0.19768092506368504,-0.2094379045117583,0.0575386071598619,0.0793744300691842
AGO.5_1,Angola,0.0314817520400827,0.18674973904557,0.591,0.877,0.834,0.452,0.542,-0.2687352186486199,-0.2994053760352931,0.0106247296981644,0.0258605709060065
AGO.6_1,Angola,0.062457397337927,0.312592328248052,0.591,0.877,0.848,0.488,0.575,-0.2632122037672185,-0.28516547620304683,0.0140879773398744,0.0325804240654853
AGO.7_1,Angola,0.0588792018118332,0.386164180802849,0.591,0.877,0.817,0.4,0.49,-0.26448148041328656,-0.27353239234696813,0.00627118354668,0.0119174472032288
AGO.8_1,Angola,0.0650951766368823,0.501799093951629,0.591,0.877,0.941,0.501,0.533,-0.26628152669383476,-0.29036185813973897,0.007081111698613,0.0137371494565644
AGO.9_1,Angola,0.115888924145407,0.404863781424427,0.591,0.877,0.885,0.498,0.563,-0.2616904943353449,-0.2533222685328207,0.0256447987452214,0.0507888613766505
AGO.10_1,Angola,0.0831650526361955,0.461871985074935,0.591,0.877,0.887,0.491,0.554,-0.2629529345015456,-0.27447304077155127,0.0294139989643979,0.0529661918677018
AGO.11_1,Angola,0.320111526306584,0.573758210953895,0.591,0.877,0.924,0.671,0.726,1.4464966624822502,2.293131738009796,0.108675185839601,0.168121790215991
AGO.12_1,Angola,0.0622829724181588,0.260307932310964,0.591,0.877,0.817,0.465,0.569,-0.2680994268500598,-0.2950774857262035,0.0072008860542477,0.0202900331187595
AGO.13_1,Angola,0.06126858409903049,0.229512225413372,0.591,0.877,0.853,0.523,0.613,-0.2670744212152724,-0.29586698243809467,0.0240702153689697,0.057974616845893
AGO.14_1,Angola,0.109684376278357,0.30854158133247,0.591,0.877,0.85,0.515,0.606,-0.2665860688131434,-0.291449000047945,0.0129977007560911,0.0304411816506357
AGO.15_1,Angola,0.0590677510403039,0.318002848306108,0.591,0.877,0.878,0.471,0.536,-0.26900523943670024,-0.2981553238744495,0.0138985121709091,0.0270632359267027
AGO.16_1,Angola,0.189031952507294,0.435099195265411,0.591,0.877,0.918,0.562,0.612,-0.2661591064161511,-0.2942767804911959,0.0346228222835046,0.0553609225712638
AGO.17_1,Angola,0.05249653668269229,0.246303241559602,0.591,0.877,0.852,0.502,0.589,-0.26654684352473673,-0.2832120044834547,0.0113898016120168,0.0241764392781223
AGO.18_1,Angola,0.107134658072751,0.345340795289287,0.591,0.877,0.881,0.561,0.637,-0.2630171108735909,-0.28767308822274407,0.0177558328338852,0.0377416945057835
ARM.1_1,Armenia,0.755819162467555,0.980740627576303,0.769,0.984,0.971,0.732,0.753,-0.2606963666907447,-0.26268676882591196,0.357990274128221,0.374158735351932
