num_deaths_neighbours,num_deaths_kin,num_total_neighbour,num_total_kin,deaths_num_total,marital_status,education_level,material_house,cooking_fuel,bed,radio,livelihood,wealth_score,gender,health_zone
0,0,12,45,0,divorced,primary,bamboo_mud,coal_lignite,yes,no,self_agriculture,2,f,Kalemie
0,0,9,17,0,widowed,primary,wood_mud,charcoal,yes,yes,domestic,3,m,Kalemie
0,1,18,35,1,married,lower_secondary,wood_mud,charcoal,yes,yes,sales,3,m,Kalemie
0,0,16,17,0,married,none,coated_adobe,wood,yes,no,self_agriculture,2,f,Kalemie
0,1,14,16,1,divorced,primary,coated_adobe,charcoal,yes,no,self_agriculture,3,m,Kalemie
0,1,19,38,1,married,upper_secondary,cement_blocks,electricity,yes,yes,sales,4,f,Nyemba
0,0,0,10,0,widowed,none,wood_mud,wood,no,no,not_working,0,f,Kalemie
0,0,28,25,0,married,lower_secondary,wood,charcoal,yes,no,self_agriculture,2,f,Nyemba
2,0,29,32,2,divorced,primary,wood_mud,wood,yes,yes,self_agriculture,2,m,Nyemba
0,0,16,18,0,married,lower_secondary,trunks,wood,no,no,self_agriculture,0,f,Nyemba
0,0,35,21,0,married,none,earth,charcoal,no,yes,self_agriculture,2,f,Nyemba
0,0,11,16,0,divorced,none,coated_adobe,wood,no,no,self_agriculture,1,f,Kalemie
0,0,0,7,0,married,lower_secondary,earth,charcoal,yes,no,unskilled,2,m,Nyemba
0,0,19,30,0,married,lower_secondary,coated_adobe,charcoal,yes,no,sales,3,f,Nyemba
0,0,36,12,0,married,lower_secondary,earth,charcoal,yes,yes,skilled,3,m,Nyemba
0,0,28,14,0,married,none,bricks,charcoal,yes,no,self_agriculture,3,f,Nyemba
0,0,35,25,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,m,Nyemba
0,0,20,7,0,single,none,bricks,wood,yes,no,self_agriculture,2,m,Nyemba
0,0,35,33,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,sales,4,m,Nyemba
0,1,39,39,1,married,lower_secondary,wood_mud,charcoal,yes,no,self_agriculture,2,m,Nyemba
0,0,28,18,0,single,upper_secondary,wood_mud,charcoal,yes,no,sales,2,m,Nyemba
0,0,23,9,0,married,upper_secondary,wood_mud,charcoal,yes,yes,sales,3,f,Nyemba
0,0,37,16,0,single,upper_secondary,cement_blocks,charcoal,yes,yes,sales,4,m,Nyemba
0,0,32,25,0,single,upper_secondary,wood_mud,charcoal,yes,yes,self_agriculture,3,f,Nyemba
0,1,45,59,1,divorced,upper_secondary,wood_mud,charcoal,yes,no,self_agriculture,2,m,Nyemba
1,0,22,25,1,married,upper_secondary,wood_mud,wood,no,yes,sales,1,f,Nyemba
1,0,16,10,1,married,upper_secondary,cement_blocks,charcoal,yes,yes,self_agriculture,4,m,Nyemba
0,0,27,13,0,widowed,primary,wood_mud,wood,yes,yes,sales,2,f,Nyemba
0,0,28,4,0,single,upper_secondary,cement_blocks,electricity,yes,yes,not_working,4,f,Nyemba
0,0,17,16,0,married,superior,cement_blocks,electricity,yes,yes,professional,4,m,Nyemba
0,0,24,19,0,married,primary,none,wood,no,no,employed_agriculture,0,m,Kalemie
0,1,30,22,1,married,upper_secondary,cement_blocks,charcoal,yes,no,sales,3,f,Kalemie
0,1,14,38,1,married,primary,coated_adobe,charcoal,yes,no,self_agriculture,3,f,Kalemie
0,0,23,22,0,married,upper_secondary,cement_blocks,charcoal,yes,yes,daily_labour_skilled,4,m,Kalemie
0,0,22,33,0,single,lower_secondary,coated_adobe,charcoal,yes,yes,not_working,4,m,Kalemie
0,0,22,34,0,single,upper_secondary,coated_adobe,charcoal,yes,yes,not_working,4,m,Kalemie
0,0,16,53,0,married,lower_secondary,coated_adobe,electricity,yes,no,sales,3,f,Kalemie
0,0,21,43,0,single,lower_secondary,coated_adobe,charcoal,yes,no,not_working,3,f,Kalemie
0,0,14,20,0,married,lower_secondary,cement_blocks,charcoal,yes,yes,not_working,4,f,Nyemba
0,0,28,4,0,married,none,earth,charcoal,yes,no,sales,2,f,Nyemba
0,0,32,10,0,married,none,earth,wood,yes,no,self_agriculture,1,f,Nyemba
0,0,26,7,0,married,superior,earth,charcoal,yes,no,other,2,m,Nyemba
0,0,32,37,0,married,upper_secondary,wood_mud,charcoal,yes,no,sales,2,m,Nyunzu
0,0,32,27,0,married,lower_secondary,coated_adobe,wood,yes,no,self_agriculture,2,m,Nyunzu
0,0,25,11,0,married,none,coated_adobe,wood,no,no,self_agriculture,1,m,Kalemie
1,0,27,39,1,married,lower_secondary,wood_mud,wood,no,no,self_agriculture,0,m,Nyunzu
0,0,29,22,0,married,primary,coated_adobe,charcoal,yes,yes,not_working,4,m,Kalemie
0,1,23,42,1,married,lower_secondary,coated_adobe,charcoal,yes,yes,not_working,4,m,Kalemie
0,0,45,61,0,married,primary,earth,wood,no,no,trader,0,f,Nyunzu
0,0,52,71,0,single,upper_secondary,cement_blocks,charcoal,yes,yes,not_working,4,f,Kalemie
0,0,21,26,0,married,none,earth,wood,no,yes,sales,1,f,Nyunzu
0,0,14,62,0,married,none,coated_adobe,wood,no,no,not_working,1,f,Kalemie
0,0,17,16,0,married,none,none,wood,no,no,self_agriculture,0,f,Kalemie
0,0,33,24,0,married,none,earth,wood,no,no,self_agriculture,0,m,Nyunzu
0,0,30,17,0,married,superior,coated_adobe,charcoal,yes,yes,clerical,4,m,Kalemie
0,0,26,22,0,married,lower_secondary,earth,wood,no,no,self_agriculture,0,f,Nyunzu
0,0,22,25,0,divorced,lower_secondary,wood_mud,wood,yes,yes,sales,2,f,Nyunzu
0,0,19,46,0,married,primary,coated_adobe,wood,no,no,self_agriculture,1,m,Kalemie
0,0,23,65,0,single,upper_secondary,coated_adobe,charcoal,yes,yes,not_working,4,m,Kalemie
0,0,21,46,0,married,upper_secondary,earth,charcoal,yes,yes,daily_labour_non,3,m,Nyunzu
0,0,22,26,0,married,none,earth,wood,no,no,sales,0,f,Nyunzu
0,0,28,25,0,married,lower_secondary,earth,wood,no,no,self_agriculture,0,m,Nyunzu
0,0,17,52,0,married,primary,coated_adobe,charcoal,yes,no,not_working,3,f,Kalemie
0,1,17,24,1,widowed,none,earth,wood,no,no,employed_agriculture,0,f,Nyunzu
0,0,26,12,0,married,primary,wood_mud,wood,yes,no,sales,1,m,Nyunzu
0,0,22,17,0,single,upper_secondary,wood_mud,wood,yes,no,sales,1,m,Nyunzu
