_submission__uuid,gender,age_class,hh_size,age_u5,age_5_18,age_18plus,age_u5_count,age_5_18_count,age_18plus_count,hh_size_categorical,hh_size_categorical_crude,cooking_fuel,material_house,modern_fuel_type,manufactured_material_house,radio,bed,_id,health_zone
d6c5a1a4-ee62-4b5c-8f29-4cf31555b44f,m,"[35,45)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,457427019,Nyemba
d6c5a1a4-ee62-4b5c-8f29-4cf31555b44f,f,"[25,35)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,457427019,Nyemba
65eca83d-17e4-4718-9709-0ca27e87688f,f,"[25,35)",6,2,2,2,2+,2+,2+,"[4,7)","[0,6)",wood,coated_adobe,0,1,no,yes,457427028,Nyemba
65eca83d-17e4-4718-9709-0ca27e87688f,m,"[25,35)",6,2,2,2,2+,2+,2+,"[4,7)","[0,6)",wood,coated_adobe,0,1,no,yes,457427028,Nyemba
68f35e99-576b-4b45-afdc-17d0672ae981,f,"[65,100]",7,0,4,3,0,2+,2+,"[7,10)",7+,charcoal,cement_blocks,1,1,no,yes,457427039,Nyemba
68f35e99-576b-4b45-afdc-17d0672ae981,f,"[45,55)",7,0,4,3,0,2+,2+,"[7,10)",7+,charcoal,cement_blocks,1,1,no,yes,457427039,Nyemba
68f35e99-576b-4b45-afdc-17d0672ae981,m,"[18,25)",7,0,4,3,0,2+,2+,"[7,10)",7+,charcoal,cement_blocks,1,1,no,yes,457427039,Nyemba
dee3f52f-81f8-4c1e-bd99-3916cea840ab,m,"[35,45)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,457428036,Nyemba
dee3f52f-81f8-4c1e-bd99-3916cea840ab,f,"[25,35)",3,1,0,2,1,0,2+,"[0,4)","[0,6)",charcoal,earth,1,0,yes,yes,457428036,Nyemba
8bf770ae-ef3b-4531-b545-62e4f65b3da2,m,"[25,35)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,no,yes,457428052,Nyemba
8bf770ae-ef3b-4531-b545-62e4f65b3da2,f,"[18,25)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,no,yes,457428052,Nyemba
25e8e5cc-fcf6-48fc-a253-48d39b6aac16,m,"[25,35)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,457428068,Nyemba
25e8e5cc-fcf6-48fc-a253-48d39b6aac16,f,"[18,25)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,yes,yes,457428068,Nyemba
2c72615f-e720-4d8d-b66e-8acf35d98f78,f,"[25,35)",10,2,6,2,2+,2+,2+,10+,7+,charcoal,bricks,1,1,no,no,457429228,Nyemba
2c72615f-e720-4d8d-b66e-8acf35d98f78,m,"[25,35)",10,2,6,2,2+,2+,2+,10+,7+,charcoal,bricks,1,1,no,no,457429228,Nyemba
e36293c9-1c95-4456-8ac1-1dfe8fc3e7ff,m,"[65,100]",10,1,6,3,1,2+,2+,10+,7+,charcoal,bricks,1,1,no,yes,457429348,Nyemba
e36293c9-1c95-4456-8ac1-1dfe8fc3e7ff,f,"[55,65)",10,1,6,3,1,2+,2+,10+,7+,charcoal,bricks,1,1,no,yes,457429348,Nyemba
e36293c9-1c95-4456-8ac1-1dfe8fc3e7ff,f,"[18,25)",10,1,6,3,1,2+,2+,10+,7+,charcoal,bricks,1,1,no,yes,457429348,Nyemba
bbcfd990-fe75-4ac8-916c-c16b7c3376b8,f,"[25,35)",5,1,2,2,1,2+,2+,"[4,7)","[0,6)",wood,stone_mud,0,0,no,yes,457429785,Nyunzu
bbcfd990-fe75-4ac8-916c-c16b7c3376b8,m,"[35,45)",5,1,2,2,1,2+,2+,"[4,7)","[0,6)",wood,stone_mud,0,0,no,yes,457429785,Nyunzu
1b1a15e7-f39c-4ff3-94b0-92ac917639b1,f,"[35,45)",12,2,3,7,2+,2+,2+,10+,7+,wood,bamboo_mud,0,0,no,yes,457429905,Nyunzu
1b1a15e7-f39c-4ff3-94b0-92ac917639b1,m,"[45,55)",12,2,3,7,2+,2+,2+,10+,7+,wood,bamboo_mud,0,0,no,yes,457429905,Nyunzu
1b1a15e7-f39c-4ff3-94b0-92ac917639b1,f,"[18,25)",12,2,3,7,2+,2+,2+,10+,7+,wood,bamboo_mud,0,0,no,yes,457429905,Nyunzu
1b1a15e7-f39c-4ff3-94b0-92ac917639b1,m,"[18,25)",12,2,3,7,2+,2+,2+,10+,7+,wood,bamboo_mud,0,0,no,yes,457429905,Nyunzu
1b1a15e7-f39c-4ff3-94b0-92ac917639b1,m,"[18,25)",12,2,3,7,2+,2+,2+,10+,7+,wood,bamboo_mud,0,0,no,yes,457429905,Nyunzu
1b1a15e7-f39c-4ff3-94b0-92ac917639b1,f,"[18,25)",12,2,3,7,2+,2+,2+,10+,7+,wood,bamboo_mud,0,0,no,yes,457429905,Nyunzu
1b1a15e7-f39c-4ff3-94b0-92ac917639b1,f,"[35,45)",12,2,3,7,2+,2+,2+,10+,7+,wood,bamboo_mud,0,0,no,yes,457429905,Nyunzu
c23da7a0-32b6-4119-8636-29ec2ec1ae23,f,"[45,55)",6,1,4,1,1,2+,1,"[4,7)","[0,6)",wood,wood_mud,0,0,yes,yes,457429923,Nyunzu
94c115d4-740a-4c91-bc3b-c92936310360,f,"[25,35)",6,2,0,4,2+,0,2+,"[4,7)","[0,6)",charcoal,bricks,1,1,yes,yes,457429926,Nyemba
94c115d4-740a-4c91-bc3b-c92936310360,m,"[45,55)",6,2,0,4,2+,0,2+,"[4,7)","[0,6)",charcoal,bricks,1,1,yes,yes,457429926,Nyemba
94c115d4-740a-4c91-bc3b-c92936310360,f,"[18,25)",6,2,0,4,2+,0,2+,"[4,7)","[0,6)",charcoal,bricks,1,1,yes,yes,457429926,Nyemba
94c115d4-740a-4c91-bc3b-c92936310360,m,"[18,25)",6,2,0,4,2+,0,2+,"[4,7)","[0,6)",charcoal,bricks,1,1,yes,yes,457429926,Nyemba
fa0aefce-5ed8-4428-b585-97b2bbd87f85,m,"[35,45)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",wood,coated_adobe,0,1,no,yes,457429952,Nyunzu
fa0aefce-5ed8-4428-b585-97b2bbd87f85,f,"[25,35)",4,1,1,2,1,1,2+,"[4,7)","[0,6)",wood,coated_adobe,0,1,no,yes,457429952,Nyunzu
ec1d2fc1-ba38-4427-97f9-d836ac30785a,m,"[25,35)",8,2,2,4,2+,2+,2+,"[7,10)",7+,charcoal,wood_mud,1,0,no,yes,457429967,Nyunzu
ec1d2fc1-ba38-4427-97f9-d836ac30785a,f,"[25,35)",8,2,2,4,2+,2+,2+,"[7,10)",7+,charcoal,wood_mud,1,0,no,yes,457429967,Nyunzu
ec1d2fc1-ba38-4427-97f9-d836ac30785a,f,"[18,25)",8,2,2,4,2+,2+,2+,"[7,10)",7+,charcoal,wood_mud,1,0,no,yes,457429967,Nyunzu
ec1d2fc1-ba38-4427-97f9-d836ac30785a,m,"[18,25)",8,2,2,4,2+,2+,2+,"[7,10)",7+,charcoal,wood_mud,1,0,no,yes,457429967,Nyunzu
3e3d165a-8411-4d1e-bc86-2c2e833d485b,f,"[18,25)",4,2,0,2,2+,0,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,no,yes,457430024,Nyunzu
3e3d165a-8411-4d1e-bc86-2c2e833d485b,m,"[25,35)",4,2,0,2,2+,0,2+,"[4,7)","[0,6)",charcoal,coated_adobe,1,1,no,yes,457430024,Nyunzu
