gender,age_class,health_zone,population
f,"[25,35)",Kalemie,17886.4375
f,"[25,35)",Nyunzu,13277.7060546875
f,"[25,35)",Nyemba,22988.60546875
f,"[25,35)",Kalemie,15550.3720703125
f,"[25,35)",Nyunzu,11544.1328125
f,"[25,35)",Nyemba,19984.365234375
f,"[35,45)",Kalemie,10983.482421875
f,"[35,45)",Nyunzu,8153.9130859375
f,"[35,45)",Nyemba,14116.154296875
f,"[35,45)",Kalemie,6675.62060546875
f,"[35,45)",Nyunzu,4956.04638671875
f,"[35,45)",Nyemba,8579.8623046875
f,"[45,55)",Kalemie,5683.61328125
f,"[45,55)",Nyunzu,4219.591796875
f,"[45,55)",Nyemba,7304.859375
f,"[45,55)",Kalemie,4952.4912109375
f,"[45,55)",Nyunzu,3676.79174804688
f,"[45,55)",Nyemba,6364.94287109375
f,"[55,65)",Kalemie,3735.70922851562
f,"[55,65)",Nyunzu,2773.47192382812
f,"[55,65)",Nyemba,4801.4189453125
f,"[55,65)",Kalemie,2633.54125976562
f,"[55,65)",Nyunzu,1955.55871582031
f,"[55,65)",Nyemba,3385.51416015625
f,"[65,100]",Kalemie,1897.60668945312
f,"[65,100]",Nyunzu,1408.86828613281
f,"[65,100]",Nyemba,2439.03930664062
f,"[65,100]",Kalemie,1736.50744628906
f,"[65,100]",Nyunzu,1289.18994140625
f,"[65,100]",Nyemba,2231.77319335938
f,"[65,100]",Kalemie,940.885131835938
f,"[65,100]",Nyunzu,698.504638671875
f,"[65,100]",Nyemba,1209.15991210938
f,"[65,100]",Kalemie,639.022399902344
f,"[65,100]",Nyunzu,474.427581787109
f,"[65,100]",Nyemba,821.469665527344
m,"[25,35)",Kalemie,12315.0810546875
m,"[25,35)",Nyunzu,9142.037109375
m,"[25,35)",Nyemba,15827.7353515625
m,"[25,35)",Kalemie,10706.6650390625
m,"[25,35)",Nyunzu,7948.45166015625
m,"[25,35)",Nyemba,13759.349609375
m,"[35,45)",Kalemie,7562.29248046875
m,"[35,45)",Nyunzu,5614.1962890625
m,"[35,45)",Nyemba,9719.03125
m,"[35,45)",Kalemie,5869.24267578125
m,"[35,45)",Nyunzu,4357.47509765625
m,"[35,45)",Nyemba,7543.3359375
m,"[45,55)",Kalemie,5501.1806640625
m,"[45,55)",Nyunzu,4083.9638671875
m,"[45,55)",Nyemba,7069.8623046875
m,"[45,55)",Kalemie,4793.5263671875
m,"[45,55)",Nyunzu,3558.61157226562
m,"[45,55)",Nyemba,6160.220703125
m,"[55,65)",Kalemie,3615.80029296875
m,"[55,65)",Nyunzu,2684.322265625
m,"[55,65)",Nyemba,4646.94189453125
m,"[55,65)",Kalemie,2549.009765625
m,"[55,65)",Nyunzu,1892.65612792969
m,"[55,65)",Nyemba,3276.48583984375
m,"[65,100]",Kalemie,1836.697265625
m,"[65,100]",Nyunzu,1363.57678222656
m,"[65,100]",Nyemba,2360.55346679688
m,"[65,100]",Kalemie,1680.76904296875
m,"[65,100]",Nyunzu,1247.75439453125
m,"[65,100]",Nyemba,2159.98828125
m,"[65,100]",Kalemie,910.6845703125
m,"[65,100]",Nyunzu,676.055603027344
m,"[65,100]",Nyemba,1170.27844238281
m,"[65,100]",Kalemie,618.511108398438
m,"[65,100]",Nyunzu,459.177337646484
m,"[65,100]",Nyemba,795.017395019531
f,"[18,25)",Kalemie,29802.733203125
f,"[18,25)",Nyemba,38305.5578125
f,"[18,25)",Nyunzu,22124.5650390625
m,"[18,25)",Kalemie,21394.749609375
m,"[18,25)",Nyemba,27498.619140625
m,"[18,25)",Nyunzu,15882.85
